# 2SLAQ selection function in NGP region (Croom et al. 2009, MNRAS, 392, 19)
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in Croom et al.)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in Croom et al., only quality=1 redshifts considered)
# Tiles at z >= 2.2 removed from original file.
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
  336  1.200  -21.64  0.46078  0.0500  0.250
  337  1.250  -25.49  0.94769  0.0500  0.250
  338  1.250  -25.24  0.92981  0.0500  0.250
  339  1.250  -24.99  0.92079  0.0500  0.250
  340  1.250  -24.74  0.91630  0.0500  0.250
  341  1.250  -24.49  0.90885  0.0500  0.250
  342  1.250  -24.24  0.85987  0.0500  0.250
  343  1.250  -23.99  0.80547  0.0500  0.250
  344  1.250  -23.74  0.78021  0.0500  0.250
  345  1.250  -23.49  0.76245  0.0500  0.250
  346  1.250  -23.24  0.68111  0.0500  0.250
  347  1.250  -22.99  0.74836  0.0500  0.250
  348  1.250  -22.74  0.73982  0.0500  0.250
  349  1.250  -22.49  0.67439  0.0500  0.250
  350  1.250  -22.24  0.56382  0.0500  0.250
  351  1.250  -21.99  0.52109  0.0500  0.250
  352  1.250  -21.74  0.47452  0.0500  0.250
  353  1.300  -25.59  0.94294  0.0500  0.250
  354  1.300  -25.34  0.92515  0.0500  0.250
  355  1.300  -25.09  0.92639  0.0500  0.250
  356  1.300  -24.84  0.91078  0.0500  0.250
  357  1.300  -24.59  0.90702  0.0500  0.250
  358  1.300  -24.34  0.85556  0.0500  0.250
  359  1.300  -24.09  0.80141  0.0500  0.250
  360  1.300  -23.84  0.77707  0.0500  0.250
  361  1.300  -23.59  0.76399  0.0500  0.250
  362  1.300  -23.34  0.68318  0.0500  0.250
  363  1.300  -23.09  0.74080  0.0500  0.250
  364  1.300  -22.84  0.74435  0.0500  0.250
  365  1.300  -22.59  0.66815  0.0500  0.250
  366  1.300  -22.34  0.57197  0.0500  0.250
  367  1.300  -22.09  0.52956  0.0500  0.250
  368  1.300  -21.84  0.47512  0.0500  0.250
  369  1.350  -25.68  0.94199  0.0500  0.250
  370  1.350  -25.43  0.92421  0.0500  0.250
  371  1.350  -25.18  0.91892  0.0500  0.250
  372  1.350  -24.93  0.91262  0.0500  0.250
  373  1.350  -24.68  0.90702  0.0500  0.250
  374  1.350  -24.43  0.85556  0.0500  0.250
  375  1.350  -24.18  0.80547  0.0500  0.250
  376  1.350  -23.93  0.77942  0.0500  0.250
  377  1.350  -23.68  0.76863  0.0500  0.250
  378  1.350  -23.43  0.68525  0.0500  0.250
  379  1.350  -23.18  0.74760  0.0500  0.250
  380  1.350  -22.93  0.74585  0.0500  0.250
  381  1.350  -22.68  0.67646  0.0500  0.250
  382  1.350  -22.43  0.56789  0.0500  0.250
  383  1.350  -22.18  0.53739  0.0500  0.250
  384  1.350  -21.93  0.45958  0.0500  0.250
  385  1.400  -25.77  0.94579  0.0500  0.250
  386  1.400  -25.52  0.92794  0.0500  0.250
  387  1.400  -25.27  0.92733  0.0500  0.250
  388  1.400  -25.02  0.91170  0.0500  0.250
  389  1.400  -24.77  0.90885  0.0500  0.250
  390  1.400  -24.52  0.85987  0.0500  0.250
  391  1.400  -24.27  0.80547  0.0500  0.250
  392  1.400  -24.02  0.78100  0.0500  0.250
  393  1.400  -23.77  0.76786  0.0500  0.250
  394  1.400  -23.52  0.68111  0.0500  0.250
  395  1.400  -23.27  0.74685  0.0500  0.250
  396  1.400  -23.02  0.73907  0.0500  0.250
  397  1.400  -22.77  0.67023  0.0500  0.250
  398  1.400  -22.52  0.57332  0.0500  0.250
  399  1.400  -22.27  0.52826  0.0500  0.250
  400  1.400  -22.02  0.47572  0.0500  0.250
  401  1.450  -25.85  0.94389  0.0500  0.250
  402  1.450  -25.60  0.92608  0.0500  0.250
  403  1.450  -25.35  0.92919  0.0500  0.250
  404  1.450  -25.10  0.91446  0.0500  0.250
  405  1.450  -24.85  0.90976  0.0500  0.250
  406  1.450  -24.60  0.85901  0.0500  0.250
  407  1.450  -24.35  0.80547  0.0500  0.250
  408  1.450  -24.10  0.77864  0.0500  0.250
  409  1.450  -23.85  0.76167  0.0500  0.250
  410  1.450  -23.60  0.68249  0.0500  0.250
  411  1.450  -23.35  0.74685  0.0500  0.250
  412  1.450  -23.10  0.73228  0.0500  0.250
  413  1.450  -22.85  0.66331  0.0500  0.250
  414  1.450  -22.60  0.54686  0.0500  0.250
  415  1.450  -22.35  0.51587  0.0500  0.255
  416  1.450  -22.09  0.46436  0.0500  0.260
  417  1.500  -25.92  0.93914  0.0500  0.250
  418  1.500  -25.67  0.92142  0.0500  0.250
  419  1.500  -25.42  0.92733  0.0500  0.250
  420  1.500  -25.17  0.90802  0.0500  0.250
  421  1.500  -24.92  0.90063  0.0500  0.250
  422  1.500  -24.67  0.85297  0.0500  0.250
  423  1.500  -24.42  0.79816  0.0500  0.250
  424  1.500  -24.17  0.77078  0.0500  0.250
  425  1.500  -23.92  0.75781  0.0500  0.250
  426  1.500  -23.67  0.67213  0.0500  0.250
  427  1.500  -23.42  0.73097  0.0500  0.250
  428  1.500  -23.17  0.71870  0.0500  0.250
  429  1.500  -22.92  0.64531  0.0500  0.250
  430  1.500  -22.67  0.51022  0.0500  0.250
  431  1.500  -22.42  0.48065  0.0500  0.250
  432  1.500  -22.17  0.42074  0.0500  0.250
  433  1.550  -25.99  0.92488  0.0500  0.250
  434  1.550  -25.74  0.90743  0.0500  0.250
  435  1.550  -25.49  0.90678  0.0500  0.250
  436  1.550  -25.24  0.90250  0.0500  0.250
  437  1.550  -24.99  0.89515  0.0500  0.250
  438  1.550  -24.74  0.83484  0.0500  0.250
  439  1.550  -24.49  0.77056  0.0500  0.250
  440  1.550  -24.24  0.75271  0.0500  0.250
  441  1.550  -23.99  0.74080  0.0500  0.250
  442  1.550  -23.74  0.65141  0.0500  0.250
  443  1.550  -23.49  0.70451  0.0500  0.250
  444  1.550  -23.24  0.69231  0.0500  0.250
  445  1.550  -22.99  0.62523  0.0500  0.250
  446  1.550  -22.74  0.48037  0.0500  0.250
  447  1.550  -22.49  0.45261  0.0500  0.250
  448  1.550  -22.24  0.42910  0.0500  0.250
  449  1.600  -26.06  0.92583  0.0500  0.250
  450  1.600  -25.81  0.90836  0.0500  0.250
  451  1.600  -25.56  0.90865  0.0500  0.250
  452  1.600  -25.31  0.90434  0.0500  0.250
  453  1.600  -25.06  0.89332  0.0500  0.250
  454  1.600  -24.81  0.84261  0.0500  0.250
  455  1.600  -24.56  0.78761  0.0500  0.250
  456  1.600  -24.31  0.75507  0.0500  0.250
  457  1.600  -24.06  0.75007  0.0500  0.250
  458  1.600  -23.81  0.66108  0.0500  0.250
  459  1.600  -23.56  0.71661  0.0500  0.250
  460  1.600  -23.31  0.70966  0.0500  0.250
  461  1.600  -23.06  0.63077  0.0500  0.250
  462  1.600  -22.81  0.50412  0.0500  0.250
  463  1.600  -22.56  0.47543  0.0500  0.250
  464  1.600  -22.31  0.43090  0.0500  0.250
  465  1.650  -26.12  0.94104  0.0500  0.250
  466  1.650  -25.87  0.92328  0.0500  0.250
  467  1.650  -25.62  0.92826  0.0500  0.250
  468  1.650  -25.37  0.91078  0.0500  0.250
  469  1.650  -25.12  0.90428  0.0500  0.250
  470  1.650  -24.87  0.85469  0.0500  0.250
  471  1.650  -24.62  0.80222  0.0500  0.250
  472  1.650  -24.37  0.77157  0.0500  0.250
  473  1.650  -24.12  0.75549  0.0500  0.250
  474  1.650  -23.87  0.67489  0.0500  0.250
  475  1.650  -23.62  0.73626  0.0500  0.250
  476  1.650  -23.37  0.72398  0.0500  0.250
  477  1.650  -23.12  0.65985  0.0500  0.250
  478  1.650  -22.87  0.52583  0.0500  0.250
  479  1.650  -22.62  0.50152  0.0500  0.250
  480  1.650  -22.37  0.45181  0.0500  0.250
  481  1.700  -26.19  0.94579  0.0500  0.250
  482  1.700  -25.94  0.92794  0.0500  0.250
  483  1.700  -25.69  0.92733  0.0500  0.250
  484  1.700  -25.44  0.91170  0.0500  0.250
  485  1.700  -25.19  0.91067  0.0500  0.250
  486  1.700  -24.94  0.86074  0.0500  0.250
  487  1.700  -24.69  0.80791  0.0500  0.250
  488  1.700  -24.44  0.77707  0.0500  0.250
  489  1.700  -24.19  0.76477  0.0500  0.250
